author,designation,interests
Madhu Mehra,"Founder, Partners for Law in Development","Law, Women"
Aaratrika Bhaumik,Media Editor,Legal Frameworks
Niranjan Rajadhyaksha,"Thinktank Executive Director, Artha India Research Advisors; Member of advisory board, Meghnad Desai Academy of Economics","Macroeconomics, Political Economy, Economic History"
Badri Narayan,"Faculty (Social History & Cultural Anthropology), Govind Ballabh Pant Social Science Institute","Marginalised Communities, Collective Memory, Contesting Narratives, Identity Formation, Folklore"
Bhopinder Singh,"Military veteran, former Lt governor of Andaman& Nicobar islands, Puducherry","Military, National Security, Geopolitics"
Andrew Sheng,Officer -Ex Central Banker and Financial Regulator,"Monetary Policy, Global Funding, China, East Asia, Trade War"
Harsha Kakar,"Retired Major General, Indian Army",National Security
Uday Bhaskar,"Thinktank Director, Society for Policy Studies","National Security, Nuclear Security, International Security"
C R Bijoy,,"Natural Resource Conflicts, Governance"
Shashi Shekhar,Media Editor,"North India, Democratic Trust, Politics"
Aditya Ramanathan,"Research- Associate Fellow, Takshashila Institution","Outer Space, Geopolitics"
Om Birla,"Politician, Speaker (Lok Sabha)",Parliament
Chakshu Roy,Thinktank PRS Legislative Research,Parliament
Shyamlal Yadav,"Media Editor, Indian Express","Parliament, Electoral Politics, Caste"
Bharat Dogra,Media Independent Journalist,"Peace, Environment Protection, Sustainable Farming, Justice"
K M Chandrasekhar,Officer -Ex Cabinet Secretary,"Personnel Management, Civil-Military Relations, Bureaucracy, Democracy"
Julio Ribeiro,"Officer -Ex IPS officer, Former Ambassador","Police Reform, Accountability, Public Service"
Abhinav Kumar,Officer IPS,"Police, Internal Security, Rule of law"
C K G Nair,"Officer Director, National Institute of Securities Markets",Policy-Law-Institutional Reforms in the Financial Sector
Pratap Bhanu Mehta,Thinktank Centre for Policy Research,"Political Economy, Constitutional Law, Governance, International Affairs"
Sanjaya Baru,"Officer -Ex Adviser to PM Manmohan Singh, IDSA","Political Economy, Geoeconomics, Foreign Policy, Power Elite, East Asia"
T C A Srinivasa Raghavan,Media Journalist & Columnist,"Political Economy, Politics of Monetary Policy"
Sushila Ramaswamy,"Faculty (Political Science), Delhi University",Political Thought
Radhika Ramaseshan,Media Columnist,Politics
Pavan K Varma,"Politician MP in Rajya Sabha, Janata Dal, Author, Diplomat","Politics, Diplomacy, Culture"
Prafull Goradia,"Politician Ex- MP, Rajya Sabha","Politics, Economics"
Shekhar Gupta,Media Editor,"Politics, Governance"
